x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2]
-21.7457;10.9662;7.0955;0.724885;0.00259564;-0.000258023;0.00104438
-21.3923;10.9662;7.09758;0.750233;0.00282154;-0.000103747;0.00125159
-21.0388;10.9662;7.09687;0.756412;0.00246246;-0.000358099;0.00142051
-20.6854;10.9662;7.09215;0.763603;0.00225172;-0.000245735;0.00127026
-20.3319;10.9662;7.08997;0.767349;0.00223228;-0.000151065;0.0012513
-19.9785;10.9662;7.08626;0.767879;0.00190288;-0.00020456;0.00118604
-19.625;10.9662;7.08781;0.7712;0.0021518;-0.000313328;0.00108434
-19.2716;10.9662;7.09677;0.781328;0.00206563;-0.000233958;0.00104976
-18.9181;10.9662;7.10186;0.791551;0.00183103;-9.68299e-05;0.00131092
-18.5647;10.9662;7.09828;0.802601;0.00162054;-0.000147571;0.00121019
-18.2112;10.9662;7.09539;0.806597;0.00175455;-0.000209143;0.00107826
-17.8578;10.9662;7.09465;0.804641;0.00161615;-0.000283067;0.000952603
-17.5043;10.9662;7.09415;0.798671;0.00150098;-0.000350136;0.00104013
-17.1509;10.9662;7.09557;0.792812;0.00149851;-0.000217502;0.00132954
-16.7974;10.9662;7.09825;0.789837;0.00146884;-7.57702e-05;0.00140756
-16.444;10.9662;7.10459;0.790299;0.00142612;-0.000100548;0.00105505
-16.0905;10.9662;7.1092;0.792284;0.0014055;-0.000207936;0.000917825
-15.7371;10.9662;7.10938;0.794629;0.0013124;-0.000296503;0.00107313
-15.3836;10.9662;7.10735;0.795521;0.00149424;-0.00029935;0.00124592
-15.0302;10.9662;7.10942;0.795393;0.00158121;-0.000235584;0.00123377
-14.6767;10.9662;7.11447;0.794614;0.00169805;-0.000153475;0.000962699
-14.3233;10.9662;7.12024;0.793597;0.00182552;-0.000170766;0.00108532
-13.9698;10.9662;7.12785;0.792922;0.00154519;-0.000280981;0.00112922
-13.6164;10.9662;7.13653;0.790163;0.00165462;-0.000358446;0.00111268
-13.2629;10.9662;7.1417;0.786144;0.00162673;-0.000297728;0.00110968
-12.9095;10.9662;7.13931;0.780527;0.00184245;-0.000259764;0.00118485
-12.556;10.9662;7.13813;0.778119;0.00200622;-0.000230779;0.001194
-12.2026;10.9662;7.13801;0.776281;0.00218603;-0.000188891;0.00118798
-11.8491;10.9662;7.13504;0.775524;0.00213654;-0.000164045;0.00108135
-11.4957;10.9662;7.13051;0.778005;0.0019002;-9.53076e-05;0.00122899
-11.1422;10.9662;7.13024;0.783693;0.0017954;-0.000126041;0.00145801
-10.7888;10.9662;7.13373;0.7878;0.00161311;-3.33291e-05;0.00123805
-10.4353;10.9662;7.14127;0.789158;0.00158871;-0.000207324;0.00110293
-10.0819;10.9662;7.14753;0.790574;0.00179592;-0.000281843;0.00105245
-9.7284;10.9662;7.15083;0.789519;0.00176485;-0.000206171;0.00108454
-9.37495;10.9662;7.15704;0.791164;0.00175063;-0.000297521;0.00110156
-9.0215;10.9662;7.16793;0.793349;0.00157748;-0.000277055;0.00107123
-8.66805;10.9662;7.17444;0.794953;0.00133404;-0.000236052;0.00109549
-8.3146;10.9662;7.17739;0.795339;0.00117361;-0.000170947;0.00106679
-7.96114;10.9662;7.18134;0.795263;0.00104572;-0.000168041;0.000948877
-7.60769;10.9662;7.18723;0.796438;0.00109858;-0.000190391;0.000942333
-7.25424;10.9662;7.19059;0.79632;0.00110361;-0.000316812;0.000943882
-6.90079;10.9662;7.1925;0.79504;0.000944107;-0.000299173;0.000838896
-6.54734;10.9662;7.19302;0.794803;0.000838206;-0.00023772;0.000799853
-6.19389;10.9662;7.19444;0.795483;0.000837457;-0.000280097;0.000863412
-5.84044;10.9662;7.19843;0.796707;0.000951573;-0.000375223;0.000997468
-5.48699;10.9662;7.20228;0.794253;0.00101337;-0.000345133;0.0010276
-5.13354;10.9662;7.20216;0.790863;0.000949762;-0.000226432;0.000974304
-4.78008;10.9662;7.20157;0.788945;0.0010199;-0.000230978;0.00108662
-4.42663;10.9662;7.2061;0.783375;0.00153476;-0.000218738;0.0012748
-4.07318;10.9662;7.21197;0.776021;0.00159116;-0.000252304;0.00123077
-3.71973;10.9662;7.21557;0.775286;0.00121475;-0.000275686;0.00111574
-3.36628;10.9662;7.21651;0.782853;0.00102737;-0.0002745;0.00121645
-3.01283;10.9662;7.22089;0.789551;0.00120107;-0.000300009;0.00122524
-2.65938;10.9662;7.22833;0.794737;0.00133447;-0.00033203;0.00132
-2.30593;10.9662;7.23404;0.799921;0.00145941;-0.000337782;0.00132922
-1.95247;10.9662;7.23785;0.806713;0.00138757;-0.0003613;0.00137922
-1.59902;10.9662;7.23856;0.809886;0.0012901;-0.000351036;0.00151819
-1.24557;10.9662;7.23961;0.805564;0.0012068;-0.000338292;0.00155349
-0.892121;10.9662;7.24162;0.795874;0.00142733;-0.000319735;0.0015913
-0.53867;10.9662;7.24514;0.788859;0.00171698;-0.000443255;0.00182258
-0.185218;10.9662;7.24765;0.788031;0.00166922;-0.000419425;0.00185067
0.168233;10.9662;7.2501;0.786032;0.00158094;-0.000387145;0.00189771
0.521684;10.9662;7.25239;0.783331;0.00183285;-0.000390252;0.00213012
0.875135;10.9662;7.25647;0.783822;0.00200047;-0.000556783;0.0023125
1.22859;10.9662;7.25357;0.783344;0.00230034;-0.000664888;0.0023375
1.58204;10.9662;7.25692;0.786657;0.00239083;-0.0005383;0.00236933
1.93549;10.9662;7.2668;0.792934;0.00246948;-0.00035279;0.00204279
2.28894;10.9662;7.27849;0.795011;0.00269016;-0.000331347;0.00178496
2.64239;10.9662;7.2867;0.79112;0.0022023;-0.00046212;0.00193397
2.99584;10.9662;7.2954;0.780342;0.0019818;-0.000470872;0.00205775
3.34929;10.9662;7.30413;0.768692;0.00193807;-0.000364665;0.00228505
3.70274;10.9662;7.31111;0.760046;0.00189385;-0.000427233;0.00207648
4.0562;10.9662;7.3127;0.754948;0.00174413;-0.000447378;0.00203607
4.40965;10.9662;7.31287;0.754848;0.00187936;-0.000464477;0.002405
4.7631;10.9662;7.31851;0.758673;0.00225833;-0.000650591;0.00203216
5.11655;10.9662;7.3297;0.757774;0.00266565;-0.000696858;0.00194175
5.47;10.9662;7.33845;0.753652;0.00285106;-0.000696308;0.00227851
5.82345;10.9662;7.33678;0.750776;0.00274223;-0.000404416;0.00234395
6.1769;10.9662;7.33016;0.757776;0.00305108;-0.000327767;0.00234503
6.53035;10.9662;7.32452;0.767637;0.00280029;-0.000537638;0.0028135
6.88381;10.9662;7.32527;0.778511;0.00265812;-0.000474534;0.00276678
7.23726;10.9662;7.33091;0.77988;0.002652;-0.000428553;0.00250297
7.59071;10.9662;7.33967;0.777214;0.00265604;-0.000421216;0.00233135
7.94416;10.9662;7.34977;0.767986;0.00241524;-0.000413862;0.0025623
8.29761;10.9662;7.35896;0.752394;0.00244993;-0.000548651;0.00269179
8.65106;10.9662;7.35878;0.739396;0.00259912;-0.000655263;0.00266902
9.00451;10.9662;7.35092;0.731548;0.00312784;-0.000566351;0.00257437
9.35796;10.9662;7.34242;0.728338;0.00396825;-0.000658109;0.00277991
9.71142;10.9662;7.34509;0.732376;0.00481332;-0.000700639;0.00264452
10.0649;10.9662;7.35206;0.7297;0.00536901;-0.000189508;0.00276642
10.4183;10.9662;7.3523;0.721171;0.00602178;-0.000178027;0.00266417
10.7718;10.9662;7.34682;0.7087;0.00502453;-2.90249e-05;0.0025394
11.1252;10.9662;7.35011;0.69942;0.0052863;0.000201065;0.00269563
11.4787;10.9662;7.356;0.694332;0.00570568;-0.000163481;0.00262414
11.8321;10.9662;7.36258;0.692262;0.00641918;1.42771e-05;0.0026164
12.1856;10.9662;7.37363;0.695073;0.00684651;0.000241371;0.00244289
12.539;10.9662;7.39257;0.70427;0.00682916;-0.000314492;0.00244862
12.8925;10.9662;7.39931;0.719809;0.00672481;-0.000844607;0.00228245
13.2459;10.9662;7.38685;0.727894;0.00589188;-0.000690728;0.00201171
13.5994;10.9662;7.36899;0.723781;0.00516931;-0.000497683;0.00204382
13.9528;10.9662;7.36488;0.71087;0.00534607;-0.000484341;0.00190455
14.3063;10.9662;7.37705;0.696081;0.00518753;-0.000449204;0.00188365
14.6597;10.9662;7.39257;0.685803;0.00521822;-0.000398886;0.00198366
15.0132;10.9662;7.40515;0.677219;0.00528899;-0.000547687;0.00218765
15.3666;10.9662;7.41072;0.670024;0.00515329;-0.000461977;0.00236604
15.7201;10.9662;7.41038;0.665727;0.00486683;-0.000360411;0.00233257
16.0735;10.9662;7.40758;0.660167;0.00393891;-0.000325169;0.00252563
16.427;10.9662;7.40902;0.653217;0.00385967;-0.00062398;0.00286779
16.7804;10.9662;7.41062;0.647007;0.00394089;-0.000896155;0.00262621
17.1339;10.9662;7.41245;0.641755;0.00449653;-0.00110674;0.00230219
17.4873;10.9662;7.41498;0.638604;0.00536468;-0.00132266;0.00230878
17.8408;10.9662;7.41633;0.635977;0.00607213;-0.00127967;0.00234952
18.1942;10.9662;7.4159;0.634671;0.00652721;-0.00169659;0.0028254
18.5477;10.9662;7.41514;0.633018;0.0068466;-0.0014601;0.00273368
18.9011;10.9662;7.40727;0.626699;0.00610102;-0.000507151;0.00273734
19.2546;10.9662;7.39849;0.611487;0.00593195;0.00013402;0.00331868
19.608;10.9662;7.39629;0.587736;0.0054116;0.000437701;0.00429509
19.9615;10.9662;7.39715;0.571015;0.00505568;0.000539663;0.00451471
20.315;10.9662;7.39525;0.563422;0.00437766;0.000427904;0.00411941
20.6684;10.9662;7.39146;0.564084;0.0034271;0.000183277;0.00393097
21.0219;10.9662;7.38474;0.570956;0.00327065;-0.000185771;0.00393022
21.3753;10.9662;7.38345;0.577963;0.00381533;-0.000465931;0.00399134
21.7288;10.9662;7.38939;0.576809;0.00518836;-0.00043421;0.00434744
22.0822;10.9662;7.39646;0.573277;0.00553587;4.46901e-05;0.0044257
22.4357;10.9662;7.39694;0.572183;0.00523894;4.17881e-05;0.0043104
22.7891;10.9662;7.39451;0.571307;0.00489601;-7.31113e-05;0.0044295
23.1426;10.9662;7.38895;0.564086;0.00412879;-0.000275274;0.00446076
23.496;10.9662;7.37989;0.555226;0.00346251;-0.000591023;0.00462849
23.8495;10.9662;7.37695;0.548209;0.00359211;-0.000947199;0.00485557
24.2029;10.9662;7.38024;0.544019;0.00458748;-0.00133186;0.00551074
24.5564;10.9662;7.39213;0.538741;0.00539789;-0.00163623;0.00595619
24.9098;10.9662;7.41046;0.52156;0.00618937;-0.00159924;0.00583094
25.2633;10.9662;7.42454;0.499962;0.00707359;-0.00139592;0.00519314
25.6167;10.9662;7.4308;0.487404;0.00780274;-0.000663398;0.00485985
25.9702;10.9662;7.42978;0.486812;0.00948587;-0.000242058;0.0047198
26.3236;10.9662;7.41911;0.489895;0.00883831;0.000122532;0.00481831
26.6771;10.9662;7.40538;0.492051;0.00743004;-6.71222e-05;0.00555266
27.0305;10.9662;7.39282;0.489787;0.00735554;-0.000879277;0.00575145
27.384;10.9662;7.38691;0.480524;0.0080962;-0.00154894;0.00576285
27.7374;10.9662;7.38671;0.471494;0.00878546;-0.00182027;0.00623611
28.0909;10.9662;7.38833;0.460383;0.00777064;-0.0013045;0.00663357
28.4443;10.9662;7.39537;0.452538;0.00743061;-0.00114521;0.00653974
28.7978;10.9662;7.40033;0.446254;0.00629543;-0.000740074;0.0071186
29.1512;10.9662;7.40377;0.442868;0.00678971;-0.000806163;0.00760777
29.5047;10.9662;7.40475;0.440717;0.00663588;-0.000324478;0.00795738
29.8581;10.9662;7.42036;0.434694;0.00752112;0.00129642;0.00947237
30.2116;10.9662;7.43674;0.423748;0.00945175;0.00207288;0.0115729
30.565;10.9662;7.43819;0.409215;0.00995702;0.00208664;0.0116475
30.9185;10.9662;7.42505;0.394845;0.00869773;0.00135679;0.0113679
31.2719;10.9662;7.40227;0.389996;0.00748103;0.00115341;0.011449
31.6254;10.9662;7.37937;0.3899;0.00746504;0.00167453;0.0114854
31.9788;10.9662;7.36836;0.391736;0.00638391;0.00190823;0.0104311
32.3323;10.9662;7.35934;0.39126;0.00618156;0.00246582;0.00947238
32.6857;10.9662;7.35119;0.384336;0.00726496;0.00258591;0.00948654
33.0392;10.9662;7.35147;0.369431;0.00836121;0.00247438;0.00989672
33.3926;10.9662;7.35457;0.361542;0.00902544;0.00201377;0.00915126
33.7461;10.9662;7.35071;0.356386;0.00812898;0.00108688;0.00867786
34.0995;10.9662;7.33038;0.351254;0.00655495;0.000715471;0.00889271
34.453;10.9662;7.30515;0.343094;0.00727983;0.00188918;0.00963538
34.8065;10.9662;7.29202;0.331934;0.00957151;0.00387237;0.0112412
35.1599;10.9662;7.29804;0.329329;0.0112588;0.00548323;0.0128237
35.5134;10.9662;7.31412;0.330469;0.0108012;0.00597941;0.0133366
35.8668;10.9662;7.31657;0.324875;0.00871274;0.00541166;0.0138375
36.2203;10.9662;7.30019;0.308699;0.00696904;0.00404742;0.0131795
36.5737;10.9662;7.27639;0.282031;0.00564216;0.00297555;0.0126026
36.9272;10.9662;7.25985;0.253004;0.00552456;0.00200955;0.0132263
37.2806;10.9662;7.2547;0.240133;0.00614084;0.0016306;0.0136216
37.6341;10.9662;7.24772;0.233584;0.00849221;0.000608398;0.0131114
37.9875;10.9662;7.23658;0.227308;0.0108636;-0.00059831;0.0130006
38.341;10.9662;7.23963;0.221187;0.0113412;-0.00116486;0.0127365
38.6944;10.9662;7.2398;0.216404;0.0104845;-0.00162326;0.0119997
39.0479;10.9662;7.23174;0.216514;0.00976032;-0.00192388;0.0106504
39.4013;10.9662;7.22262;0.202452;0.00890322;-0.0015432;0.00699794
-45.427;10.6128;6.73525;0.721207;0.00642423;0.00125636;0.00407931
-45.0735;10.6128;6.73714;0.721973;0.00411575;0.00059536;0.00240994
-44.7201;10.6128;6.74823;0.723091;0.00508434;0.000659379;0.0026028
-44.3666;10.6128;6.7652;0.727121;0.00482653;0.000749756;0.00281749
-44.0132;10.6128;6.78042;0.730133;0.00490474;0.000546294;0.00246183
-43.6597;10.6128;6.7854;0.730182;0.00434165;0.000630689;0.00183261
-43.3063;10.6128;6.78779;0.730941;0.00438505;0.000507555;0.00152523
-42.9528;10.6128;6.79957;0.734825;0.00463421;0.00062815;0.00172468
-42.5994;10.6128;6.81716;0.736126;0.0048504;0.000901473;0.00188007
-42.2459;10.6128;6.82093;0.7375;0.00488154;0.000642667;0.00146823
-41.8925;10.6128;6.82047;0.737553;0.00463785;0.000474748;0.00131487
-41.539;10.6128;6.82849;0.734436;0.00428371;0.000571171;0.00168959
-41.1856;10.6128;6.83525;0.736276;0.00512896;0.000718515;0.00202528
-40.8321;10.6128;6.84077;0.737074;0.00433674;0.000649121;0.00217963
-40.4787;10.6128;6.83914;0.735139;0.0038364;0.000454318;0.00234271
-40.1252;10.6128;6.84636;0.72917;0.00338149;0.000181126;0.00257176
-39.7718;10.6128;6.85307;0.728302;0.00279905;0.000234295;0.0022903
-39.4183;10.6128;6.85846;0.731898;0.00284325;0.000341858;0.00185068
-39.0649;10.6128;6.85837;0.73587;0.00327335;0.000365398;0.00188808
-38.7114;10.6128;6.85768;0.738673;0.00430598;0.000330976;0.00158095
-38.3579;10.6128;6.86216;0.738142;0.0047249;8.82308e-05;0.00146288
-38.0045;10.6128;6.86872;0.741859;0.00391235;6.33527e-05;0.0014899
-37.651;10.6128;6.87215;0.745293;0.00298871;2.30459e-05;0.00134682
-37.2976;10.6128;6.87589;0.747713;0.00262387;0.000171222;0.00115721
-36.9441;10.6128;6.87765;0.753084;0.00239809;3.76283e-05;0.00128585
-36.5907;10.6128;6.88042;0.753697;0.00291947;6.64313e-06;0.00125514
-36.2372;10.6128;6.88658;0.751642;0.00292584;-2.8142e-05;0.00120672
-35.8838;10.6128;6.89649;0.750335;0.00340165;0.000111857;0.00113532
-35.5303;10.6128;6.90472;0.749529;0.00420766;0.000237747;0.000926405
-35.1769;10.6128;6.91014;0.751372;0.00436402;-8.79802e-07;0.00086817
-34.8234;10.6128;6.91965;0.751645;0.00397242;8.73576e-05;0.000887994
-34.47;10.6128;6.93288;0.74875;0.00425475;8.59927e-05;0.000847609
-34.1165;10.6128;6.94223;0.747861;0.00404596;-1.52549e-05;0.000925146
-33.7631;10.6128;6.94384;0.750299;0.00515606;-0.000194622;0.00113711
-33.4096;10.6128;6.94705;0.753287;0.00522819;-0.000435046;0.00128592
-33.0562;10.6128;6.94717;0.753521;0.00454038;-0.00042936;0.00102402
-32.7027;10.6128;6.94286;0.749859;0.00365539;-0.000423879;0.000901991
-32.3493;10.6128;6.9413;0.746735;0.00362581;-0.000348536;0.000875251
-31.9958;10.6128;6.94553;0.744389;0.00424319;-0.000314349;0.00104435
-31.6424;10.6128;6.95027;0.742316;0.00331843;-0.000145851;0.000979308
-31.2889;10.6128;6.95646;0.745198;0.00284312;-0.000213832;0.000924158
-30.9355;10.6128;6.95718;0.751414;0.0025493;-0.000210157;0.000928701
-30.582;10.6128;6.95603;0.757182;0.00253576;-0.000175589;0.000767028
-30.2286;10.6128;6.95845;0.75923;0.00247375;-0.000285257;0.000623569
-29.8751;10.6128;6.97066;0.754007;0.00247843;-7.07175e-05;0.000768075
-29.5217;10.6128;6.99112;0.751993;0.00273265;-5.66798e-05;0.000719875
-29.1682;10.6128;7.01;0.759179;0.0034301;-0.000128727;0.0007283
-28.8148;10.6128;7.02018;0.769301;0.00360136;-0.000122688;0.000910789
-28.4613;10.6128;7.02417;0.774484;0.00265428;-0.000220909;0.000912293
-28.1079;10.6128;7.02247;0.772384;0.00225049;-9.88055e-05;0.000903266
-27.7544;10.6128;7.01472;0.764232;0.00196643;-6.49205e-05;0.00107859
-27.401;10.6128;7.00934;0.752862;0.00210034;-0.000243176;0.00142582
-27.0475;10.6128;7.00555;0.751896;0.00216577;-0.000592279;0.00188153
-26.6941;10.6128;7.00744;0.758969;0.0023399;-0.0010422;0.00263032
-26.3406;10.6128;7.01095;0.765288;0.00237395;-0.00112431;0.00262592
-25.9872;10.6128;7.00925;0.765054;0.00216855;-0.000851183;0.00195424
-25.6337;10.6128;7.00655;0.767939;0.00233636;-0.000635831;0.00146183
-25.2803;10.6128;7.00771;0.772361;0.00231844;-0.000536758;0.00122546
-24.9268;10.6128;7.01379;0.775913;0.0023836;-0.000364052;0.000925827
-24.5734;10.6128;7.02916;0.77742;0.0022094;-0.000235378;0.000828185
-24.2199;10.6128;7.04022;0.779168;0.00228673;-0.000293369;0.000760994
-23.8664;10.6128;7.0443;0.782785;0.00254516;-0.000390229;0.000756829
-23.513;10.6128;7.044;0.781489;0.00274064;-0.00049058;0.000663416
-23.1595;10.6128;7.04536;0.773731;0.00239125;-0.000211535;0.000782998
-22.8061;10.6128;7.05559;0.765564;0.00227145;-0.00019057;0.000914814
-22.4526;10.6128;7.07183;0.762802;0.00186421;-0.000125844;0.000775232
-22.0992;10.6128;7.08776;0.761905;0.00153453;-9.64989e-05;0.000758969
-21.7457;10.6128;7.09624;0.757276;0.00134041;-0.000177527;0.000599983
-21.3923;10.6128;7.09984;0.755004;0.00128238;-0.000163213;0.000493389
-21.0388;10.6128;7.10167;0.758951;0.00119849;-0.000132163;0.000547098
-20.6854;10.6128;7.09967;0.767284;0.00105962;-9.71994e-05;0.000524665
-20.3319;10.6128;7.09296;0.772573;0.00114001;-5.2978e-05;0.00058892
-19.9785;10.6128;7.08674;0.773596;0.00122386;-8.3108e-05;0.000583202
-19.625;10.6128;7.08512;0.776964;0.00129292;-0.000163018;0.000586238
-19.2716;10.6128;7.09029;0.785412;0.00143257;-0.000188772;0.000657146
-18.9181;10.6128;7.09471;0.796696;0.00134246;-0.000191283;0.000666478
-18.5647;10.6128;7.09411;0.806578;0.00119438;-0.000178016;0.000671387
-18.2112;10.6128;7.0929;0.810014;0.00122474;-0.000223837;0.00054954
-17.8578;10.6128;7.09361;0.808153;0.00117575;-0.000209327;0.0004971
-17.5043;10.6128;7.09649;0.802453;0.00117287;-0.000230122;0.000502444
-17.1509;10.6128;7.09826;0.797463;0.00111442;-0.000206522;0.000576679
-16.7974;10.6128;7.09826;0.796278;0.00115309;-0.000130619;0.000590528
-16.444;10.6128;7.10158;0.797853;0.00114487;-0.000146947;0.000582221
-16.0905;10.6128;7.1068;0.799761;0.00104643;-0.000203937;0.000613617
-15.7371;10.6128;7.10879;0.800171;0.0010587;-0.00021104;0.000563337
-15.3836;10.6128;7.10839;0.799706;0.00103052;-0.000229334;0.000641495
-15.0302;10.6128;7.10884;0.800278;0.00114006;-0.000226342;0.000653996
-14.6767;10.6128;7.11278;0.799827;0.00120306;-0.000246462;0.000629255
-14.3233;10.6128;7.11754;0.799065;0.00122471;-0.000216193;0.000642628
-13.9698;10.6128;7.12416;0.797663;0.0012197;-0.000192632;0.000655109
-13.6164;10.6128;7.13426;0.797277;0.00129376;-0.000155078;0.000706282
-13.2629;10.6128;7.14329;0.795548;0.00126945;-0.000176916;0.00076383
-12.9095;10.6128;7.14765;0.791158;0.00122762;-0.000269913;0.000764247
-12.556;10.6128;7.14895;0.786783;0.00119214;-0.000218207;0.000735713
-12.2026;10.6128;7.14865;0.785304;0.00123607;-0.000198524;0.00077494
-11.8491;10.6128;7.14328;0.78519;0.00118723;-0.00025077;0.000760487
-11.4957;10.6128;7.13593;0.786886;0.00110218;-0.000283326;0.000696992
-11.1422;10.6128;7.13155;0.791262;0.00106314;-0.0002665;0.000676242
-10.7888;10.6128;7.13295;0.794112;0.0011108;-0.000177935;0.000640038
-10.4353;10.6128;7.14;0.795544;0.0011104;-0.000180637;0.000618152
-10.0819;10.6128;7.14553;0.796403;0.00108144;-0.000246093;0.000609598
-9.7284;10.6128;7.14871;0.795389;0.00101959;-0.000238697;0.000644936
-9.37495;10.6128;7.15496;0.79475;0.00100537;-0.00021848;0.000617628
-9.0215;10.6128;7.16477;0.796913;0.000980485;-0.000271451;0.000650623
-8.66805;10.6128;7.17195;0.800058;0.0010278;-0.000340997;0.000778467
-8.3146;10.6128;7.17459;0.800945;0.00100433;-0.000309288;0.000695276
-7.96114;10.6128;7.17836;0.799971;0.000938828;-0.000298049;0.000672203
-7.60769;10.6128;7.18443;0.800203;0.000867021;-0.000291735;0.000729847
-7.25424;10.6128;7.18973;0.800293;0.000830201;-0.000273572;0.000790925
-6.90079;10.6128;7.19275;0.799825;0.000856757;-0.000273118;0.000742507
-6.54734;10.6128;7.19463;0.800144;0.000859628;-0.00027701;0.000654727
-6.19389;10.6128;7.19691;0.80163;0.000840146;-0.0002907;0.000686027
-5.84044;10.6128;7.2016;0.802058;0.000826242;-0.000274417;0.000800043
-5.48699;10.6128;7.20497;0.800618;0.000832057;-0.000278264;0.000831648
-5.13354;10.6128;7.20313;0.79786;0.000808724;-0.000262625;0.000805598
-4.78008;10.6128;7.20128;0.796629;0.000898833;-0.000293075;0.000865004
-4.42663;10.6128;7.20552;0.79252;0.00114831;-0.000347827;0.000980505
-4.07318;10.6128;7.21112;0.784262;0.00113771;-0.000368638;0.000986731
-3.71973;10.6128;7.21463;0.781627;0.00103938;-0.000385262;0.000912949
-3.36628;10.6128;7.21528;0.787015;0.000974283;-0.000332415;0.000998991
-3.01283;10.6128;7.21785;0.793332;0.000983584;-0.00030633;0.00105094
-2.65938;10.6128;7.22336;0.79844;0.0010539;-0.000261857;0.00106627
-2.30593;10.6128;7.22945;0.805572;0.001061;-0.000239497;0.00108158
-1.95247;10.6128;7.23355;0.816575;0.00101353;-0.000237343;0.00104607
-1.59902;10.6128;7.23511;0.822347;0.000980181;-0.000266717;0.00112534
-1.24557;10.6128;7.23745;0.81801;0.000956357;-0.000295813;0.00120496
-0.892121;10.6128;7.23949;0.805483;0.00106018;-0.000278383;0.00124485
-0.53867;10.6128;7.24408;0.796236;0.00123092;-0.000415746;0.00133021
-0.185218;10.6128;7.24711;0.79543;0.00125346;-0.000443179;0.00141169
0.168233;10.6128;7.24769;0.795199;0.00115317;-0.000411712;0.00148247
0.521684;10.6128;7.24855;0.792732;0.00121677;-0.000414992;0.0014486
0.875135;10.6128;7.25153;0.79132;0.00130711;-0.000403034;0.00154082
1.22859;10.6128;7.25354;0.79041;0.00140253;-0.000334034;0.00162863
1.58204;10.6128;7.25626;0.791175;0.00154339;-0.00037655;0.00163991
1.93549;10.6128;7.26461;0.794531;0.00164507;-0.000456054;0.00155268
2.28894;10.6128;7.2752;0.796107;0.00157942;-0.000380154;0.00141795
2.64239;10.6128;7.28568;0.79433;0.00150111;-0.000385807;0.00146059
2.99584;10.6128;7.29638;0.790214;0.0014206;-0.000379704;0.00151005
3.34929;10.6128;7.30674;0.781868;0.00143206;-0.000352174;0.00149388
3.70274;10.6128;7.31327;0.769773;0.00132025;-0.000420002;0.00133711
4.0562;10.6128;7.3141;0.761062;0.00117256;-0.000377354;0.0012593
4.40965;10.6128;7.31435;0.761047;0.00116708;-0.000423653;0.00138981
4.7631;10.6128;7.32108;0.763365;0.00136471;-0.000616489;0.00155323
5.11655;10.6128;7.33282;0.761437;0.00170404;-0.000737687;0.00157412
5.47;10.6128;7.33866;0.756246;0.00200956;-0.000728565;0.00160952
5.82345;10.6128;7.33369;0.754525;0.00196698;-0.000617317;0.00166313
6.1769;10.6128;7.32432;0.75951;0.00203543;-0.000488678;0.001822
6.53035;10.6128;7.31325;0.77028;0.00209677;-0.000470942;0.00190416
6.88381;10.6128;7.30842;0.779039;0.00206465;-0.000408846;0.00183391
7.23726;10.6128;7.31616;0.783749;0.00200706;-0.000339677;0.00170653
7.59071;10.6128;7.33342;0.780578;0.00208362;-0.000286045;0.00173406
7.94416;10.6128;7.34973;0.770375;0.00219667;-0.000367251;0.00169936
8.29761;10.6128;7.36032;0.756865;0.00215499;-0.000496258;0.00167404
8.65106;10.6128;7.35919;0.74259;0.00234716;-0.00064278;0.00173712
9.00451;10.6128;7.34858;0.734336;0.0023775;-0.000734804;0.00184481
9.35796;10.6128;7.34003;0.73342;0.00260302;-0.000685292;0.00187021
9.71142;10.6128;7.33842;0.73684;0.0031374;-0.000725944;0.00178002
10.0649;10.6128;7.3433;0.732043;0.00345059;-0.000418091;0.00199754
10.4183;10.6128;7.34452;0.717905;0.00443983;-0.000164686;0.00234764
10.7718;10.6128;7.34319;0.702606;0.00443396;-3.27547e-05;0.00204071
11.1252;10.6128;7.34672;0.695311;0.00426466;-3.91003e-05;0.001825
11.4787;10.6128;7.35067;0.691862;0.00447802;0.000208548;0.00190895
11.8321;10.6128;7.35425;0.686593;0.00492899;0.000236912;0.002108
12.1856;10.6128;7.36609;0.68433;0.00461466;4.08078e-06;0.00242176
12.539;10.6128;7.38514;0.691305;0.00382992;-0.000141378;0.00258542
12.8925;10.6128;7.40201;0.707895;0.00402578;-0.000471088;0.00212862
13.2459;10.6128;7.39758;0.723059;0.00367224;-0.000555184;0.00185236
13.5994;10.6128;7.37977;0.725446;0.00361014;-0.000524717;0.00175823
13.9528;10.6128;7.36859;0.715471;0.00382415;-0.000667312;0.00159912
14.3063;10.6128;7.37521;0.703839;0.00347764;-0.000538429;0.00158938
14.6597;10.6128;7.38631;0.697558;0.00358603;-0.000516917;0.00168524
15.0132;10.6128;7.39674;0.691654;0.00388509;-0.000482777;0.00169103
15.3666;10.6128;7.40256;0.68386;0.0040314;-0.000495506;0.00186532
15.7201;10.6128;7.40499;0.677611;0.00413672;-0.000369301;0.00192505
16.0735;10.6128;7.40411;0.672105;0.00350488;-0.000324342;0.00188349
16.427;10.6128;7.40604;0.665687;0.00303725;-0.000363773;0.0017632
16.7804;10.6128;7.40953;0.65737;0.0028439;-0.000544894;0.00177325
17.1339;10.6128;7.41254;0.650048;0.0030352;-0.000691524;0.00181568
